model,method,budget,task,Task Type,Eval metric,Avg len,Language,performance
Llama-3.2-3B-Instruct,Base,,NarrativeQA,Single-doc QA,F1,18409,EN,25.5
Llama-3.2-3B-Instruct,Base,,Qasper,Single-doc QA,F1,3619,EN,39.52
Llama-3.2-3B-Instruct,Base,,MultiFieldQA-en,Single-doc QA,F1,4559,EN,51.15
Llama-3.2-3B-Instruct,Base,,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,25.36
Llama-3.2-3B-Instruct,Base,,HotpotQA,Multi-doc QA,F1,9151,EN,31.81
Llama-3.2-3B-Instruct,Base,,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,28.36
Llama-3.2-3B-Instruct,Base,,MuSiQue,Multi-doc QA,F1,11214,EN,14.77
Llama-3.2-3B-Instruct,Base,,DuReader,Multi-doc QA,Rouge-L,15768,ZH,28.73
Llama-3.2-3B-Instruct,Base,,GovReport,Summarization,Rouge-L,8734,EN,33.35
Llama-3.2-3B-Instruct,Base,,QMSum,Summarization,Rouge-L,10614,EN,23.13
Llama-3.2-3B-Instruct,Base,,MultiNews,Summarization,Rouge-L,2113,EN,25.19
Llama-3.2-3B-Instruct,Base,,VCSUM,Summarization,Rouge-L,15380,ZH,15.19
Llama-3.2-3B-Instruct,Base,,TREC,Few shot,Accuracy,5177,EN,72.5
Llama-3.2-3B-Instruct,Base,,TriviaQA,Few shot,F1,8209,EN,88.78
Llama-3.2-3B-Instruct,Base,,SAMSum,Few shot,Rouge-L,6258,EN,42.47
Llama-3.2-3B-Instruct,Base,,LSHT,Few shot,Accuracy,22337,ZH,33.5
Llama-3.2-3B-Instruct,Base,,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Base,,PassageRetr.-en,Synthetic,Accuracy,9289,EN,88.0
Llama-3.2-3B-Instruct,Base,,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,30.5
Llama-3.2-3B-Instruct,Base,,LCC,Code,Edit Sim,1235,Python/C#/Java,53.81
Llama-3.2-3B-Instruct,Base,,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.75
Llama-3.2-3B-Instruct,AKCB,512,NarrativeQA,Single-doc QA,F1,18409,EN,25.42
Llama-3.2-3B-Instruct,AKCB,512,Qasper,Single-doc QA,F1,3619,EN,36.03
Llama-3.2-3B-Instruct,AKCB,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,47.34
Llama-3.2-3B-Instruct,AKCB,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,24.74
Llama-3.2-3B-Instruct,AKCB,512,HotpotQA,Multi-doc QA,F1,9151,EN,26.74
Llama-3.2-3B-Instruct,AKCB,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,27.33
Llama-3.2-3B-Instruct,AKCB,512,MuSiQue,Multi-doc QA,F1,11214,EN,15.23
Llama-3.2-3B-Instruct,AKCB,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.5
Llama-3.2-3B-Instruct,AKCB,512,GovReport,Summarization,Rouge-L,8734,EN,24.51
Llama-3.2-3B-Instruct,AKCB,512,QMSum,Summarization,Rouge-L,10614,EN,21.15
Llama-3.2-3B-Instruct,AKCB,512,MultiNews,Summarization,Rouge-L,2113,EN,22.82
Llama-3.2-3B-Instruct,AKCB,512,VCSUM,Summarization,Rouge-L,15380,ZH,12.65
Llama-3.2-3B-Instruct,AKCB,512,TREC,Few shot,Accuracy,5177,EN,72.0
Llama-3.2-3B-Instruct,AKCB,512,TriviaQA,Few shot,F1,8209,EN,88.67
Llama-3.2-3B-Instruct,AKCB,512,SAMSum,Few shot,Rouge-L,6258,EN,42.53
Llama-3.2-3B-Instruct,AKCB,512,LSHT,Few shot,Accuracy,22337,ZH,33.5
Llama-3.2-3B-Instruct,AKCB,512,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,AKCB,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,88.33
Llama-3.2-3B-Instruct,AKCB,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,26.0
Llama-3.2-3B-Instruct,AKCB,512,LCC,Code,Edit Sim,1235,Python/C#/Java,53.86
Llama-3.2-3B-Instruct,AKCB,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,54.26
Llama-3.2-3B-Instruct,Quant,512,NarrativeQA,Single-doc QA,F1,18409,EN,5.88
Llama-3.2-3B-Instruct,Quant,512,Qasper,Single-doc QA,F1,3619,EN,7.39
Llama-3.2-3B-Instruct,Quant,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,7.22
Llama-3.2-3B-Instruct,Quant,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,11.51
Llama-3.2-3B-Instruct,Quant,512,HotpotQA,Multi-doc QA,F1,9151,EN,10.33
Llama-3.2-3B-Instruct,Quant,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,8.16
Llama-3.2-3B-Instruct,Quant,512,MuSiQue,Multi-doc QA,F1,11214,EN,3.93
Llama-3.2-3B-Instruct,Quant,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,7.38
Llama-3.2-3B-Instruct,Quant,512,GovReport,Summarization,Rouge-L,8734,EN,3.2
Llama-3.2-3B-Instruct,Quant,512,QMSum,Summarization,Rouge-L,10614,EN,10.65
Llama-3.2-3B-Instruct,Quant,512,MultiNews,Summarization,Rouge-L,2113,EN,2.7
Llama-3.2-3B-Instruct,Quant,512,VCSUM,Summarization,Rouge-L,15380,ZH,2.47
Llama-3.2-3B-Instruct,Quant,512,TREC,Few shot,Accuracy,5177,EN,48.0
Llama-3.2-3B-Instruct,Quant,512,TriviaQA,Few shot,F1,8209,EN,37.17
Llama-3.2-3B-Instruct,Quant,512,SAMSum,Few shot,Rouge-L,6258,EN,13.09
Llama-3.2-3B-Instruct,Quant,512,LSHT,Few shot,Accuracy,22337,ZH,17.5
Llama-3.2-3B-Instruct,Quant,512,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Quant,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,68.28
Llama-3.2-3B-Instruct,Quant,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,3.5
Llama-3.2-3B-Instruct,Quant,512,LCC,Code,Edit Sim,1235,Python/C#/Java,10.23
Llama-3.2-3B-Instruct,Quant,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,12.61
Llama-3.2-3B-Instruct,Origin,512,NarrativeQA,Single-doc QA,F1,18409,EN,25.85
Llama-3.2-3B-Instruct,Origin,512,Qasper,Single-doc QA,F1,3619,EN,36.1
Llama-3.2-3B-Instruct,Origin,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,50.0
Llama-3.2-3B-Instruct,Origin,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,26.1
Llama-3.2-3B-Instruct,Origin,512,HotpotQA,Multi-doc QA,F1,9151,EN,30.85
Llama-3.2-3B-Instruct,Origin,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,26.07
Llama-3.2-3B-Instruct,Origin,512,MuSiQue,Multi-doc QA,F1,11214,EN,13.6
Llama-3.2-3B-Instruct,Origin,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,23.9
Llama-3.2-3B-Instruct,Origin,512,GovReport,Summarization,Rouge-L,8734,EN,25.25
Llama-3.2-3B-Instruct,Origin,512,QMSum,Summarization,Rouge-L,10614,EN,21.59
Llama-3.2-3B-Instruct,Origin,512,MultiNews,Summarization,Rouge-L,2113,EN,23.52
Llama-3.2-3B-Instruct,Origin,512,VCSUM,Summarization,Rouge-L,15380,ZH,13.44
Llama-3.2-3B-Instruct,Origin,512,TREC,Few shot,Accuracy,5177,EN,72.0
Llama-3.2-3B-Instruct,Origin,512,TriviaQA,Few shot,F1,8209,EN,88.78
Llama-3.2-3B-Instruct,Origin,512,SAMSum,Few shot,Rouge-L,6258,EN,42.36
Llama-3.2-3B-Instruct,Origin,512,LSHT,Few shot,Accuracy,22337,ZH,34.0
Llama-3.2-3B-Instruct,Origin,512,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Origin,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,87.83
Llama-3.2-3B-Instruct,Origin,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,29.0
Llama-3.2-3B-Instruct,Origin,512,LCC,Code,Edit Sim,1235,Python/C#/Java,54.25
Llama-3.2-3B-Instruct,Origin,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,55.92
Llama-3.2-3B-Instruct,AKCB,1024,NarrativeQA,Single-doc QA,F1,18409,EN,25.06
Llama-3.2-3B-Instruct,AKCB,1024,Qasper,Single-doc QA,F1,3619,EN,37.41
Llama-3.2-3B-Instruct,AKCB,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,48.23
Llama-3.2-3B-Instruct,AKCB,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,26.43
Llama-3.2-3B-Instruct,AKCB,1024,HotpotQA,Multi-doc QA,F1,9151,EN,30.47
Llama-3.2-3B-Instruct,AKCB,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,27.91
Llama-3.2-3B-Instruct,AKCB,1024,MuSiQue,Multi-doc QA,F1,11214,EN,14.59
Llama-3.2-3B-Instruct,AKCB,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.67
Llama-3.2-3B-Instruct,AKCB,1024,GovReport,Summarization,Rouge-L,8734,EN,26.26
Llama-3.2-3B-Instruct,AKCB,1024,QMSum,Summarization,Rouge-L,10614,EN,21.78
Llama-3.2-3B-Instruct,AKCB,1024,MultiNews,Summarization,Rouge-L,2113,EN,24.25
Llama-3.2-3B-Instruct,AKCB,1024,VCSUM,Summarization,Rouge-L,15380,ZH,13.48
Llama-3.2-3B-Instruct,AKCB,1024,TREC,Few shot,Accuracy,5177,EN,72.0
Llama-3.2-3B-Instruct,AKCB,1024,TriviaQA,Few shot,F1,8209,EN,89.17
Llama-3.2-3B-Instruct,AKCB,1024,SAMSum,Few shot,Rouge-L,6258,EN,42.55
Llama-3.2-3B-Instruct,AKCB,1024,LSHT,Few shot,Accuracy,22337,ZH,33.5
Llama-3.2-3B-Instruct,AKCB,1024,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,AKCB,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,89.33
Llama-3.2-3B-Instruct,AKCB,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,27.5
Llama-3.2-3B-Instruct,AKCB,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,54.14
Llama-3.2-3B-Instruct,AKCB,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,55.73
Llama-3.2-3B-Instruct,Quant,1024,NarrativeQA,Single-doc QA,F1,18409,EN,5.88
Llama-3.2-3B-Instruct,Quant,1024,Qasper,Single-doc QA,F1,3619,EN,7.39
Llama-3.2-3B-Instruct,Quant,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,7.22
Llama-3.2-3B-Instruct,Quant,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,11.58
Llama-3.2-3B-Instruct,Quant,1024,HotpotQA,Multi-doc QA,F1,9151,EN,10.33
Llama-3.2-3B-Instruct,Quant,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,8.66
Llama-3.2-3B-Instruct,Quant,1024,MuSiQue,Multi-doc QA,F1,11214,EN,3.93
