model,method,budget,task,task_type,quant_ratio,evict_ratio
Llama-3.2-3B-Instruct,AKCB,512,commonsense_qa,CommonQA,0.0,0.0
Llama-3.2-3B-Instruct,AKCB,512,gsm8k,GSM8K,0.16762602682804173,0.465115909560354
Llama-3.2-3B-Instruct,AKCB,512,longbench_2wikimqa,LongBench,0.18654685847632974,0.9292372969200257
Llama-3.2-3B-Instruct,AKCB,512,longbench_dureader,LongBench,0.20005725038432995,0.9601958333900206
Llama-3.2-3B-Instruct,AKCB,512,longbench_gov_report,LongBench,0.18088016302914114,0.952787780149659
Llama-3.2-3B-Instruct,AKCB,512,longbench_hotpotqa,LongBench,0.2102008673587871,0.9614184739197926
Llama-3.2-3B-Instruct,AKCB,512,longbench_lcc,LongBench,0.19310021243534212,0.8373286311140765
Llama-3.2-3B-Instruct,AKCB,512,longbench_lsht,LongBench,0.19202470775934735,0.9693959282238879
Llama-3.2-3B-Instruct,AKCB,512,longbench_multi_news,LongBench,0.1920654252447878,0.8244892362539421
Llama-3.2-3B-Instruct,AKCB,512,longbench_multifieldqa_en,LongBench,0.1912377465341178,0.9351496497827767
Llama-3.2-3B-Instruct,AKCB,512,longbench_multifieldqa_zh,LongBench,0.2221728764832308,0.8989151143621484
Llama-3.2-3B-Instruct,AKCB,512,longbench_musique,LongBench,0.20120961013132949,0.9672548430215082
Llama-3.2-3B-Instruct,AKCB,512,longbench_narrativeqa,LongBench,0.17613190707874501,0.9816892555806196
Llama-3.2-3B-Instruct,AKCB,512,longbench_passage_count,LongBench,0.14401040481992952,0.9672623805108859
Llama-3.2-3B-Instruct,AKCB,512,longbench_passage_retrieval_en,LongBench,0.1190529386285358,0.9591699213103904
Llama-3.2-3B-Instruct,AKCB,512,longbench_passage_retrieval_zh,LongBench,0.1389326470428455,0.9084799084799084
Llama-3.2-3B-Instruct,AKCB,512,longbench_qasper,LongBench,0.1784813168644304,0.9115858001959963
Llama-3.2-3B-Instruct,AKCB,512,longbench_qmsum,LongBench,0.2330527280635405,0.9654834757196139
Llama-3.2-3B-Instruct,AKCB,512,longbench_repobench-p,LongBench,0.20745402321471818,0.9550127405324664
Llama-3.2-3B-Instruct,AKCB,512,longbench_samsum,LongBench,0.21421735393227362,0.9483238038525008
Llama-3.2-3B-Instruct,AKCB,512,longbench_trec,LongBench,0.2145448552895829,0.9166347805557139
Llama-3.2-3B-Instruct,AKCB,512,longbench_triviaqa,LongBench,0.20411437533876156,0.9553708598736524
Llama-3.2-3B-Instruct,AKCB,512,longbench_vcsum,LongBench,0.16535444307608657,0.9560357467160978
Llama-3.2-3B-Instruct,AKCB,512,stem,MMLU,0.12335848866693915,0.8972997043354769
Llama-3.2-3B-Instruct,AKCB,512,other,MMLU,0.14638867698620148,0.8662591750907713
Llama-3.2-3B-Instruct,AKCB,512,social sciences,MMLU,0.12630821672469106,0.8607181719260065
Llama-3.2-3B-Instruct,AKCB,512,humanities,MMLU,0.15545107119010085,0.9318956939988401
Llama-3.2-3B-Instruct,AKCB,1024,commonsense_qa,CommonQA,0.0,0.0
Llama-3.2-3B-Instruct,AKCB,1024,gsm8k,GSM8K,0.16654130680108936,0.0
Llama-3.2-3B-Instruct,AKCB,1024,longbench_2wikimqa,LongBench,0.18654685847632974,0.8583874982713318
Llama-3.2-3B-Instruct,AKCB,1024,longbench_dureader,LongBench,0.20005725038432995,0.920404661457473
Llama-3.2-3B-Instruct,AKCB,1024,longbench_gov_report,LongBench,0.18088016302914114,0.9055313515520673
Llama-3.2-3B-Instruct,AKCB,1024,longbench_hotpotqa,LongBench,0.2102008673587871,0.9228668813438036
Llama-3.2-3B-Instruct,AKCB,1024,longbench_lcc,LongBench,0.19310021243534212,0.6746706993944555
Llama-3.2-3B-Instruct,AKCB,1024,longbench_lsht,LongBench,0.19202470775934735,0.9387797805876902
