model,method,cache_size,task,task_tokens_per_s,quant_ratio,task_quant_ratio
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_2wikimqa,3278.73,0.15446752309799194,0.13070428371429443
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_dureader,1889.55,0.15446752309799194,0.1572491079568863
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_gov_report,561.67,0.15446752309799194,0.1400960087776184
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_hotpotqa,3786.85,0.15446752309799194,0.128946915268898
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_lcc,1154.09,0.15446752309799194,0.19725967943668365
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_lsht,4376.44,0.15446752309799194,0.17889976501464844
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_multi_news,166.85,0.15446752309799194,0.18450874090194702
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_multifieldqa_en,2307.75,0.15446752309799194,0.19705092906951904
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_multifieldqa_zh,1655.09,0.15446752309799194,0.17405958473682404
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_musique,3875.83,0.15446752309799194,0.13043919205665588
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_narrativeqa,2926.41,0.15446752309799194,0.14057105779647827
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_passage_count,3628.67,0.15446752309799194,0.16205784678459167
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_passage_retrieval_en,3584.19,0.15446752309799194,0.1297546625137329
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_passage_retrieval_zh,2747.48,0.15446752309799194,0.12750861048698425
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_qasper,1146.62,0.15446752309799194,0.1294553428888321
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_qmsum,749.83,0.15446752309799194,0.20917224884033203
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_repobench-p,2560.9,0.15446752309799194,0.15505163371562958
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_samsum,3443.64,0.15446752309799194,0.19514521956443787
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_trec,4170.4,0.15446752309799194,0.18204288184642792
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_triviaqa,4670.06,0.15446752309799194,0.18202513456344604
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_vcsum,603.09,0.15446752309799194,0.16037671267986298
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,commonsense_qa,3829.52,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_stem,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_abstract_algebra,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_anatomy,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_astronomy,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_college_biology,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_college_chemistry,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_college_computer_science,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_college_mathematics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_college_physics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_computer_security,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_conceptual_physics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_electrical_engineering,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_elementary_mathematics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_biology,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_chemistry,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_computer_science,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_mathematics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_physics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_statistics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_machine_learning,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_other,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_business_ethics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_clinical_knowledge,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_college_medicine,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_global_facts,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_human_aging,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_management,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_marketing,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_medical_genetics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_miscellaneous,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_nutrition,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_professional_accounting,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_professional_medicine,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_virology,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_social_sciences,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_econometrics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_geography,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_government_and_politics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_macroeconomics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_microeconomics,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_psychology,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_human_sexuality,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_professional_psychology,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_public_relations,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_security_studies,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_sociology,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_us_foreign_policy,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_humanities,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_formal_logic,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_european_history,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_us_history,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_high_school_world_history,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_international_law,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_jurisprudence,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_logical_fallacies,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_moral_disputes,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_moral_scenarios,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_philosophy,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_prehistory,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_professional_law,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,mmlu_world_religions,0.0,0.15446752309799194,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,512,gsm8k,302.37,0.15446752309799194,0.17993837594985962
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_2wikimqa,3217.74,0.15422247350215912,0.13070428371429443
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_dureader,1895.36,0.15422247350215912,0.1572491079568863
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_gov_report,564.39,0.15422247350215912,0.1400960087776184
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_hotpotqa,3842.31,0.15422247350215912,0.128946915268898
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_lcc,1160.05,0.15422247350215912,0.19725967943668365
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_lsht,4527.58,0.15422247350215912,0.17889976501464844
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_multi_news,168.89,0.15422247350215912,0.18450874090194702
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_multifieldqa_en,2223.88,0.15422247350215912,0.19705092906951904
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_multifieldqa_zh,1657.21,0.15422247350215912,0.17405958473682404
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_musique,3785.01,0.15422247350215912,0.13043919205665588
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_narrativeqa,2892.95,0.15422247350215912,0.14057105779647827
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_passage_count,3606.27,0.15422247350215912,0.16205784678459167
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_passage_retrieval_en,3628.52,0.15422247350215912,0.1297546625137329
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_passage_retrieval_zh,2729.17,0.15422247350215912,0.12750861048698425
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_qasper,1114.33,0.15422247350215912,0.1294553428888321
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_qmsum,758.91,0.15422247350215912,0.20917224884033203
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_repobench-p,2558.36,0.15422247350215912,0.15505163371562958
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_samsum,3518.16,0.15422247350215912,0.19514521956443787
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_trec,4134.59,0.15422247350215912,0.18204288184642792
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_triviaqa,4650.34,0.15422247350215912,0.18202513456344604
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_vcsum,600.23,0.15422247350215912,0.16037671267986298
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,commonsense_qa,3821.66,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_stem,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_abstract_algebra,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_anatomy,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_astronomy,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_college_biology,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_college_chemistry,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_college_computer_science,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_college_mathematics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_college_physics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_computer_security,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_conceptual_physics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_electrical_engineering,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_elementary_mathematics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_biology,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_chemistry,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_computer_science,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_mathematics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_physics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_statistics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_machine_learning,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_other,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_business_ethics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_clinical_knowledge,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_college_medicine,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_global_facts,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_human_aging,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_management,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_marketing,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_medical_genetics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_miscellaneous,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_nutrition,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_professional_accounting,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_professional_medicine,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_virology,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_social_sciences,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_econometrics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_geography,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_government_and_politics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_macroeconomics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_microeconomics,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_psychology,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_human_sexuality,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_professional_psychology,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_public_relations,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_security_studies,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_sociology,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_us_foreign_policy,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_humanities,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_formal_logic,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_european_history,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_us_history,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_high_school_world_history,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_international_law,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_jurisprudence,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_logical_fallacies,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_moral_disputes,0.0,0.15422247350215912,0.0
meta-llama_Meta-Llama-3.1-8B-Instruct,AKCB,1024,mmlu_moral_scenarios,0.0,0.15422247350215912,0.0
